"id","UsedInAnalysis","longitudeF","latitudeF","longitudeT","latitudeT"
"Cincinnati_1",TRUE,-84.4044569999999,39.169955,-84.404606,39.1699519999999
"Cincinnati_2",TRUE,-84.540347,39.14923,-84.5402259999999,39.149229
"Cincinnati_3",TRUE,-84.5684269999999,39.162438,-84.566813,39.16127
"Cincinnati_4",TRUE,-84.454012,39.145863,-84.4541569999999,39.14522
"Cincinnati_5",TRUE,-84.4023129999999,39.133046,-84.404791,39.13486
"Cincinnati_6",TRUE,-84.389675,39.148681,-84.389579,39.148941
"Cincinnati_7",TRUE,-84.5153989999999,39.1241,-84.5148899999999,39.124063
"Cincinnati_8",TRUE,-84.5517849999999,39.169576,-84.553055,39.170878
"Cincinnati_9",TRUE,-84.522357,39.121098,-84.5222559999999,39.121551
"Cincinnati_10",TRUE,-84.513822,39.148739,-84.512842,39.148991
"Hartford_1",TRUE,-72.668854,41.784875,-72.670579,41.7850829999999
"Hartford_2",TRUE,-72.668001,41.7282189999999,-72.6661,41.728497
"Hartford_3",FALSE,-72.710833,41.799322,-72.7093899999999,41.799727
"Hartford_4",TRUE,-72.693097,41.7499529999999,-72.69388,41.7497629999999
"Hartford_5",TRUE,-72.668854,41.784875,-72.669142,41.787037
"Hartford_6",TRUE,-72.715365,41.744327,-72.715134,41.7422109999999
"Hartford_7",TRUE,-72.693843,41.7269629999999,-72.695108,41.7272099999999
"Hartford_8",TRUE,-72.7149279999999,41.7449359999999,-72.711548,41.7444879999999
"Hartford_9",TRUE,-72.693769,41.727681,-72.693843,41.7269629999999
"Hartford_10",TRUE,-72.69564,41.726984,-72.694537,41.725885
"Miami_1",TRUE,-80.241891,25.738807,-80.241877,25.73873
"Miami_2",TRUE,-80.228089,25.811891,-80.228104,25.812135
"Miami_3",TRUE,-80.174119,25.845623,-80.174932,25.844476
"Miami_4",TRUE,-80.1957029999999,25.790483,-80.195812,25.790475
"Miami_5",TRUE,-80.1895779999999,25.817936,-80.188155,25.817573
"Miami_6",TRUE,-80.174701,25.842439,-80.1750499999999,25.841276
"Miami_7",TRUE,-80.189374,25.842645,-80.189929,25.842719
"Miami_8",TRUE,-80.1935189999999,25.797996,-80.194176,25.797986
"Miami_9",TRUE,-80.195694,25.79162,-80.195342,25.79162
"Miami_10",TRUE,-80.212497,25.739712,-80.211502,25.740941
"Seattle_1",TRUE,-122.321509,47.523075,-122.321294,47.523131
"Seattle_2",TRUE,-122.317706,47.520478,-122.317942,47.520373
"Seattle_3",TRUE,-122.320095,47.522318,-122.320304,47.522197
"Seattle_4",TRUE,-122.294595,47.533112,-122.294195,47.533082
"Seattle_5",TRUE,-122.290068,47.542131,-122.289893,47.542487
"Seattle_6",TRUE,-122.369325,47.539185,-122.368763,47.539748
"Seattle_7",TRUE,-122.386213,47.636099,-122.386822,47.636363
"Seattle_8",TRUE,-122.286041,47.535149,-122.284189,47.535516
"Seattle_9",TRUE,-122.359572,47.541099,-122.360497,47.541113
"Seattle_10",TRUE,-122.299767,47.566065,-122.297823,47.565973
"Chicago_1",TRUE,-87.6051289999999,41.6928260000024,-87.6053409999998,41.6928240000025
"Chicago_2",TRUE,-87.6815969999999,41.8048920000025,-87.6812879999999,41.8049050000025
"Chicago_3",TRUE,-87.6384529999999,41.9066340000026,-87.6384499999999,41.9065200000026
"Chicago_4",TRUE,-87.6676459999999,41.9161390000026,-87.6678009999999,41.9161280000026
"Chicago_5",TRUE,-87.7365819999999,41.7527140000025,-87.7366109999999,41.7531630000025
"Chicago_6",TRUE,-87.668541,41.7293370000025,-87.6676709999999,41.7297520000024
"Chicago_7",TRUE,-87.712098,41.7564490000025,-87.7143329999999,41.7564850000024
"Chicago_8",TRUE,-87.712056,41.7551300000025,-87.7142679999999,41.7550650000024
"Chicago_9",TRUE,-87.6779359999999,41.8367310000025,-87.6781309999999,41.8363270000025
"Chicago_10",TRUE,-87.7152899999999,41.9717440000026,-87.7153119999999,41.9725560000026
